P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.06363088856681194,5.100917777773864,5.116737735301928,0.4079592203203597,0.5,-2.7199999999999998,2.4000000000000004,0,112.62568712234497
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.059043888107223705,4.915811015546511,6.2778712093635916,0.3917357172776236,0.5,-2.56,3.2,0,132.69607257843018
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.03626448190741444,5.5212750751849695,7.623215533183565,0.47451685920065384,0.5,-3.68,-2.4,0,133.76942777633667
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.04965505144377146,5.521274947827633,4.713208923133715,0.3675716740025901,0.5,-3.68,2.08,0,135.25374579429626
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.06719961187892048,5.471407555294521,5.055205217661369,0.60450536158192,0.5,-2.56,-1.2799999999999998,0,138.17587542533875
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.09096223634286778,4.159501792232342,3.7280375354386597,0.5528820869432018,0.5,-2.08,1.12,0,147.02246165275574
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.0629331273044598,5.502073622133336,3.7301044211077086,0.6002583408867275,0.5,-3.2,0.0,0,148.54522943496704
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.05367127618536745,5.506433652752921,4.618327624760857,0.5754629719576627,0.5,-3.36,-0.7999999999999998,0,149.0116753578186
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.05442231295587077,4.626414634387471,7.505386934662615,0.38709203450677965,0.5,-2.4,4.0,0,153.66459774971008
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.03011855441345979,5.5271184446717925,9.335887153868814,0.4383953614750151,0.5,-3.84,-3.2,0,159.28532814979553
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.08862001897915041,4.729368441582558,3.4847153900383363,0.6238229011632992,0.5,-2.24,0.3200000000000003,0,168.20355081558228
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.055748912760472696,5.479738014104186,6.435327166685162,0.5605514154310418,0.5,-2.7199999999999998,-2.08,0,168.908775806427
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.04775615320168575,5.515169743586732,5.5341991236254096,0.3351319772882366,0.5,-3.52,2.88,0,170.5896875858307
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.038963313863791746,5.487500596047104,9.658489986987915,0.5158256474164358,0.5,-3.04,-3.68,0,171.13708639144897
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.07947375324801477,5.357379728779772,3.9051110458803118,0.6518738723296142,0.5,-2.4,-0.48,0,173.52825331687927
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.06767534708086718,5.487505057563174,3.7648756544238378,0.5305117995880986,0.5,-3.04,0.7999999999999998,0,174.38155913352966
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.0672131202781933,5.305104626654751,4.2848909456964694,0.4584968033870134,0.5,-2.88,1.6000000000000005,0,179.07938838005066
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.04619216699219522,5.532721007216871,3.8936052881536325,0.4928577427494374,0.5,-4.0,0.4800000000000004,0,182.98180413246155
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.05601833112018069,5.028910295836474,8.828906505812746,0.5367778862552217,0.5,-2.08,-3.36,0,207.32073497772217
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.04482311492935356,5.487596084416047,6.57830665575281,0.3211572383881186,0.5,-3.36,3.6799999999999997,0,215.89222049713135
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.04941054439645977,5.522983102236147,4.120282763133751,0.4229692709515378,0.5,-3.84,1.2800000000000002,1,234.83511114120483
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.08962052103876783,4.15850913576713,3.7640877399406594,0.5325037728492079,0.5,-2.08,1.2800000000000002,0,98.71909308433533
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.04419824790280426,5.515169744966597,5.982525916225414,0.5302233465098743,0.5,-3.52,-1.6,0,252.73085474967957
P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0.06890050744817255,5.471409640309991,4.7679405815189035,0.6073417342021363,0.5,-2.56,-1.12,0,131.4141972064972
