Gamma1,Gamma2,N,t1,t2,covering,optimal covering calculation time,svd calculation time,entropy,max_Schmidt
0,0.001,1.0,4096.0,-9466.251624846049,-8.989792597475681,0.9982928318577416,695.9777042865753,158.469402551651,0.0032267700873971,0.9997698524194182
1,0.0017782794100389,1.0,4096.0,-5528.641426421032,-9.018990838378912,0.9984649192686692,585.4054009914398,250.1614027023316,0.0086744380688602,0.9993354355694986
2,0.0031622776601683,1.0,4096.0,-3279.417007793445,-9.009387384043537,0.9985836506855604,661.3317077159882,185.4664921760559,0.0177078743121651,0.9985822372665818
3,0.0056234132519034,1.0,4096.0,-1797.8816506923586,-9.03457265071733,0.998653965598378,527.7968320846558,286.32709074020386,0.0325365543359021,0.9972921559075888
4,0.01,1.0,4096.0,-1152.6740032945524,-9.005265650736758,0.9987137200410232,696.242169380188,170.41131210327148,0.055721040983362,0.9951077313546782
5,0.0177827941003892,1.0,4096.0,-375.88691004873306,-69.60868704605988,0.9902833622499032,548.9103190898895,259.9546411037445,0.0952983720577709,0.9912134095496586
6,0.0316227766016837,1.0,4096.0,-229.91449489509444,-42.69840619480259,0.9940872979678754,543.676997423172,265.03971552848816,0.1562535612240707,0.9845105299688174
7,0.0562341325190349,1.0,4096.0,-140.0880312583148,-26.26650585990148,0.996452128930292,501.02939438819885,277.67142271995544,0.2527840441803348,0.9728881279122352
8,0.0999999999999999,1.0,4096.0,-84.97267426546063,-15.861565862884236,0.9978507620387392,633.1726648807526,206.9837367534637,0.4022027017658677,0.953088831128864
9,0.1778279410038923,1.0,4096.0,-53.72714836602057,-10.100703892806834,0.99864063698599,574.5299489498138,255.83639359474185,0.6252724513779476,0.920396993208285
10,0.3162277660168379,1.0,4096.0,-47.6702372098802,-9.040907057045688,0.998807208392864,596.9845488071442,251.5407328605652,0.9431887445846466,0.8688740537218642
11,0.5623413251903491,1.0,4096.0,-45.345798440927744,-8.57893471992682,0.9988444295381662,349.0680420398712,399.3031210899353,1.3713962712123418,0.7931262619417775
12,1.0,1.0,4096.0,-48.334311172747,-9.144329140789598,0.9989268483241328,576.9221830368042,269.5111372470856,1.910930993771868,0.69174374398101
13,1.7782794100389228,1.0,4096.0,-48.27988789260726,-9.15653046239095,0.9989432198656352,612.5658020973206,220.64096546173096,2.5434520322212792,0.5709274448012239
14,3.162277660168379,1.0,4096.0,-50.26783991187442,-9.510131875219308,0.9992555073044188,533.787807226181,270.03728699684143,3.241969153333266,0.4435210402808484
15,5.62341325190349,1.0,4096.0,-49.06206003625007,-9.267278006847114,0.9990892231139727,597.0395958423615,232.26406455039967,3.980288362672906,0.3243785552014498
16,10.0,1.0,4096.0,-51.74202480904843,-9.788698377517727,0.9999999999999998,480.6172115802765,299.67605423927307,4.727051172016676,0.2244655633400968
17,17.78279410038923,1.0,4096.0,-34.76377917657993,-11.501517473970194,0.999999999335798,378.64435839653015,381.0313563346863,5.517569935885596,0.1476477452136629
18,31.6227766016838,1.0,4096.0,-40.6443595532604,-19.86204457136469,0.9999999999703406,380.8474853038788,372.1569769382477,6.218797978970874,0.0935665719612559
19,56.23413251903491,1.0,4096.0,-12.419695282864955,-10.928802844288544,0.9999999999988012,406.8778166770935,359.9422426223755,7.132309236783485,0.0576125438697372
20,100.0,1.0,4096.0,-12.660983113848175,-11.137847180155644,0.9999999998270638,390.7707974910736,370.3234674930573,7.855433213422148,0.0345926097626779
21,177.82794100389228,1.0,32768.0,-20.465887650559168,-20.0692239709542,0.9999999999963592,447.5236463546753,2682.2320590019226,8.838287849956142,0.0202527621269167
22,316.2277660168379,1.0,32768.0,-13.93384027510875,-13.68108579605812,0.999999948187378,447.5236463546753,2682.2320590019226,9.650361256594175,0.0117593960113852
23,562.341325190349,1.0,32768.0,-13.293280602431125,-13.011960666553728,0.99999999985113,447.5236463546753,2682.2320590019226,10.411387882063256,0.0067842861188657
24,1000.0,1.0,32768.0,-9.204959698424164,-9.017559362545107,0.9999975073630584,447.5236463546753,2682.2320590019226,11.201308446877494,0.003886103126459
25,1778.2794100389226,1.0,32768.0,-9.412522430419878,-9.21579788208004,0.999996348854322,447.5236463546753,2682.2320590019226,11.864979251270176,0.0023310723133725
26,3162.277660168379,1.0,32768.0,-7.637043973989749,-7.47150006096807,0.9999999572019564,466.47976875305176,2682.2320590019226,12.526850109382648,0.0014269100328966
27,5623.41325190349,1.0,32768.0,-9.012679813504182,-8.307833301424942,0.9999990967758772,466.47976875305176,2682.2320590019226,12.789503871147131,0.0009459508048497
