P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,number_of_fails,ComputTime
1,0.38929379625024957,1.0339732774164179,6049.143041274937,-2.000404869076452,5623.413252,2.0,905.4319746494293
0,0.34351966667368333,1.0258166125130443,5925.719629866914,-2.0174195776599673,10000.0,1.0,865.4720478057861
