P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.29070070790262664,0.30893123795982513,1.024251404132938,5.472150522996269,7.432910165251358,0.31622776601683794,0,0.1969449520111084
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.28615106607801244,0.5268991505065462,1.0708617252627775,2.8195151119532564,4.709953042324734,0.5623413251903491,1,0.20999813079833984
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.25231313515713816,1.3150001008624193,1.4162928572661964,0.7286225793442968,2.2357158935047545,1.7782794100389228,1,0.2114264965057373
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2748251301562217,0.8562343756505489,1.1850818444341007,1.4272791299427112,3.1679112090613386,1.0,2,0.2165851593017578
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.29228759642151486,0.1764585488768237,1.007866777524504,10.327269336882424,12.314312336472527,0.1778279410038923,1,0.23096799850463867
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2176330758922257,1.9373995186567297,1.8180220503099531,0.38248699090436794,1.6158105518286436,3.162277660168379,2,0.23593449592590332
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2928069878489965,0.09975228184398638,1.0025049347818245,19.043892694841304,21.03974113106378,0.09999999999999999,0,0.2547585964202881
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.17512428196032714,2.7908703084126687,2.458288260417265,0.2071376118704509,1.1764895728561426,5.62341325190349,3,0.26499295234680176
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.29297309441088404,0.05618960408874761,1.0007879473767554,34.58980841909297,36.58849735732632,0.056234132519034905,0,0.2741258144378662
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.13179817772294913,3.974421179325514,3.433451164691321,0.11511205106383023,0.8588045563372257,10.0,7,0.34363627433776855
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2930258039850366,0.03160277484644678,1.000242779176681,62.27118789509234,64.27077458204357,0.03162277660168379,4,0.39379048347473145
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.29304244717203864,0.017762794082803426,1.0000924676711787,111.53452275695005,113.53438420444812,0.01778279410038923,4,0.4020113945007324
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2930475893369804,0.009979999762889241,1.0000266955236672,199.20177994593803,201.20173829817077,0.01,8,0.4663221836090088
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2930480350987418,0.0031822776677853572,1.0000013983558098,629.4663527450741,631.4663508939076,0.0031622776601683794,22,0.575404167175293
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.09354244166013999,5.614856059948646,4.873698272830759,0.06517156441757149,0.6297948721733861,17.78279410038923,20,0.5905890464782715
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.06326475046458283,7.868410911142741,6.944091821610028,0.037325042315270465,0.46605235576041354,31.622776601683796,31,0.6412875652313232
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.02601425645218741,15.119871028699862,13.896122938642527,0.012377762476114381,0.26412982069201285,100.0,37,0.6527090072631836
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.016046418389506396,20.837313711458336,19.485312406473927,0.00711333020359169,0.20133398360449462,177.82794100389228,40,0.6764466762542725
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2930488327033434,0.005603413213656908,1.0000037083622275,355.29129092100266,357.291297242666,0.005623413251903491,23,0.6795334815979004
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.29304403494149595,0.0017982794172048174,1.0000052686651073,1117.406823012176,1119.406816504164,0.0017782794100389228,34,0.6872351169586182
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.009710985669628143,28.680101414501856,27.204217131391744,0.004074768876665941,0.15408985699754235,316.2277660168379,46,0.7711117267608643
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.04118200462749134,10.938854042078752,9.854762066070268,0.021489616333184546,0.34899050536249465,56.23413251903491,34,0.8039565086364746
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.0057874840692671925,39.448509232741344,37.849538821432155,0.0023266474599404493,0.11817475072169525,562.341325190349,43,0.8483750820159912
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.0034069952516095217,54.23105720704844,52.50822148691975,0.0013246396320862612,0.09070747925093606,1000.0,44,0.6800751686096191
P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0.2930310449847617,0.0010200000041575953,1.0000130934918652,1979.2910689635346,1981.2910343865694,0.001,43,0.9038136005401611
