P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
675,0.0863493021532701,11.954350438841242,9.299417670891227,0.15664721378210633,5.0,-4.0,-0.7999999999999998,0.0,404.6729929447174
60,0.08713879732318014,11.803361215657352,9.162382133542,0.15689319996169848,5.0,-4.0,-0.6400000000000001,0.0,379.4000024795532
157,0.0879016321488337,11.654036059520696,9.042271253452222,0.15687604175668143,5.0,-4.0,-0.48,0.0,372.75145268440247
243,0.0886351543093397,11.501965078525835,8.91276214950652,0.15705369450801088,5.0,-4.0,-0.31999999999999984,0.0,317.51698994636536
335,0.08933643912543152,11.350373385394075,8.799523312622096,0.15696827522136875,5.0,-4.0,-0.16000000000000014,0.0,383.8411431312561
428,0.09000264342416481,11.194264116847446,8.68903880406631,0.15684318839938327,5.0,-4.0,0.0,0.0,320.8174636363983
517,0.09063132131781972,11.039542084163427,8.593916035834328,0.15645585990121325,5.0,-4.0,0.16000000000000014,0.0,345.5253572463989
605,0.09121952411267356,10.881516896388835,8.489449897304954,0.15625569341308548,5.0,-4.0,0.3200000000000003,0.0,304.9738419055939
44,0.09176505755019228,10.723886504118816,8.399660418346523,0.15579342419859257,5.0,-4.0,0.4800000000000004,0.0,344.42342925071716
129,0.09226552697827937,10.563036703254411,8.32318381216755,0.15506493384094822,5.0,-4.0,0.6399999999999997,0.0,351.0958070755005
226,0.09271882841257942,10.414723647753908,8.251278779272086,0.15433726821408045,5.0,-4.0,0.7999999999999998,0.0,329.6500413417816
323,0.09312271415704199,10.262521084246803,8.180794411557848,0.15356617880294293,5.0,-4.0,0.96,0.0,364.62106823921204
407,0.09347537159807169,10.096656150251986,8.110169907097923,0.15272846819057315,5.0,-4.0,1.12,0.0,313.455087184906
508,0.09377543840103292,9.932869010845327,8.052289124277666,0.15163982940770093,5.0,-4.0,1.2800000000000002,0.0,356.22505402565
591,0.09402096272635642,9.788923620442274,8.000561501991264,0.15058615025107686,5.0,-4.0,1.4400000000000004,0.0,308.0983245372772
25,0.09421108572177063,9.639855451910293,7.959821041730779,0.14927234266252443,5.0,-4.0,1.6000000000000005,0.0,321.8065571784973
136,0.09434422627333869,9.49877129464818,7.922773805255375,0.1479820683514681,5.0,-4.0,1.7599999999999998,0.0,383.74089002609253
236,0.09441949586350487,9.360268897926229,7.887965218625418,0.1466548244533386,5.0,-4.0,1.92,0.0,336.8704733848572
328,0.09443595748835698,9.199524387579341,7.8488561514146244,0.14523427125606975,5.0,-4.0,2.08,0.0,363.16594099998474
420,0.09439306731857523,9.07067334610917,7.830056983092464,0.1437116011396571,5.0,-4.0,2.24,0.0,328.12491846084595
510,0.09429029608228669,8.94112305953779,7.8128294805675615,0.14218095964672128,5.0,-4.0,2.4000000000000004,0.0,344.88454508781433
607,0.09412693106909704,8.812958236846839,7.797901063099886,0.14065580263048305,5.0,-4.0,2.5600000000000005,0.0,350.77423119544983
12,0.09390266376913979,8.699644299531016,7.79905764630114,0.1389898292998321,5.0,-4.0,2.7199999999999998,0.0,304.981347322464
123,0.09361811221887632,8.604766238270312,7.80892334001922,0.13743557409050022,5.0,-4.0,2.88,0.0,382.5044267177582
216,0.09327294095542432,8.49044476155623,7.814535514609395,0.13578290077456934,5.0,-4.0,3.04,0.0,319.0275251865387
327,0.09286773972281664,8.380728838712873,7.8242110989524924,0.13417274166620813,5.0,-4.0,3.2,0.0,397.6142511367798
427,0.0924036318124182,8.32281302040361,7.86548059334976,0.13268142126222823,5.0,-4.0,3.3600000000000003,0.0,361.6811158657074
519,0.09188143466703531,8.228934508601991,7.887490042798261,0.13121900247943669,5.0,-4.0,3.5200000000000005,0.0,358.83089423179626
616,0.09130338865451318,8.191438949868274,7.953822173298725,0.12970474556183026,5.0,-4.0,3.6799999999999997,0.0,367.819607257843
33,0.09067112177148905,8.145089399975472,8.012054079343322,0.12840228207015325,5.0,-4.0,3.84,0.0,327.303307056427
135,0.0899874130491231,8.11694320817325,8.091902831218256,0.12704205361705662,5.0,-4.0,4.0,0.0,375.82068729400635
276,0.06939506114602242,12.894078287705153,13.219125795842306,0.14277421960673897,5.0,-3.84,-4.0,0.0,522.2743821144104
442,0.07029828617090542,12.894078295257238,12.966254543498195,0.14360375562761693,5.0,-3.84,-3.84,0.0,631.6189901828766
587,0.07121142202579388,12.894078290168764,12.718697729490426,0.14442670452453532,5.0,-3.84,-3.68,0.0,503.272744178772
747,0.07213323467292512,12.894078296280124,12.476623458211531,0.14523352012637852,5.0,-3.84,-3.52,0.0,593.7236082553864
904,0.07306267247752624,12.894078294438408,12.240885220129826,0.1460325343349591,5.0,-3.84,-3.36,0.0,550.6845393180847
95,0.07399842381846415,12.894078290863131,12.010952839548134,0.14682081354381327,5.0,-3.84,-3.2,0.0,596.7771427631378
251,0.07493895849869127,12.894078289713226,11.787442459096342,0.14759847171324608,5.0,-3.84,-3.04,0.0,501.9317924976349
358,0.07588265014387026,12.89407825296778,11.55338200083292,0.1486300004521502,5.0,-3.84,-2.88,0.0,463.4363594055176
532,0.07682762643268556,12.894078216225369,11.34292455507897,0.14939114379247256,5.0,-3.84,-2.7199999999999998,1.0,625.3697142601013
678,0.07777175020126406,12.894078243974823,11.138524657560225,0.15014469336382497,5.0,-3.84,-2.56,0.0,518.3399133682251
810,0.0787127441296102,12.894078219449609,10.940685230821316,0.15089230749721116,5.0,-3.84,-2.4,0.0,479.8607831001282
929,0.07964897198776473,12.831974157737086,10.731215428309566,0.15188612760911208,5.0,-3.84,-2.24,0.0,402.05380606651306
69,0.08058279333636173,12.708308272335831,10.54057793993612,0.15261339113813416,5.0,-3.84,-2.08,0.0,391.1008069515228
161,0.08151302306593142,12.58093490711274,10.354508808752902,0.1533142205777293,5.0,-3.84,-1.92,0.0,364.23590445518494
255,0.08243759055797889,12.451666366296145,10.17335626832369,0.1539921467090677,5.0,-3.84,-1.7599999999999998,0.0,352.621933221817
