P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,number_of_fails,ComputTime
0,0.0033945834174918,0.0824457774176386,0.0434613014419067,-31.616859952052977,0.001,0.0,207.50226354599
1,0.0059208324570321,0.1000156296477955,0.0529667168432226,-26.598393176225827,0.0017782794100389,0.0,204.45572972297668
2,0.01023676477144,0.1215270762934348,0.0648105609324255,-22.38591537108026,0.0031622776601683,0.0,175.6521759033203
3,0.0174780047724947,0.1480019866906219,0.0797699011379397,-18.828063791240968,0.0056234132519034,0.0,158.59992480278015
4,0.029318496486369,0.1807856973697099,0.0990053593497471,-15.80135525045106,0.01,0.0,212.18090319633484
5,0.0479926990839855,0.2216294450691013,0.1242965284600645,-13.207758736353997,0.0177827941003892,0.0,147.666898727417
6,0.0760149374545295,0.2727580827198527,0.158447921728391,-10.97190105865768,0.0316227766016837,0.0,165.81127500534058
7,0.11533549562916,0.3368564526627594,0.2059935144900658,-9.039267716222248,0.0562341325190349,0.0,126.4396996498108
8,0.1658456898195331,0.4168064456219463,0.2744693370453093,-7.3737804634024435,0.0999999999999999,0.0,141.9265594482422
9,0.2237744589271841,0.5148580563740748,0.376806494651594,-5.954764110457513,0.1778279410038923,0.0,138.36863231658936
10,0.2813901790973745,0.6306474216815008,0.5360942410124123,-4.772821531802784,0.3162277660168379,0.0,108.66281962394714
11,0.3294296988757357,0.7572532786680399,0.795594339909462,-3.825854523934363,0.5623413251903491,0.0,103.41918587684631
12,0.3617309328030853,0.8764343519090335,1.240128608361321,-3.115243651071369,1.0,0.0,88.30015587806702
13,0.3786790118372574,0.963107049388172,2.0365234201215,-2.634296354252581,1.7782794100389228,0.0,79.03220725059509
14,0.3856846875564303,1.0079873169149822,3.4889842481695,-2.346877933960325,3.162277660168379,0.0,70.44823837280273
15,0.3881448099320284,1.0254900946548775,6.118461108428465,-2.188768413514203,5.62341325190349,0.0,79.46629738807678
16,0.3889466089480233,1.0313618687745842,10.829963155680993,-2.103649607997386,10.0,0.0,67.10332798957825
17,0.3892015793923337,1.0332477492365046,19.230134502013293,-2.0574121164157013,17.78279410038923,0.0,63.116851568222046
18,0.38928215587754,1.0338403010550603,34.18060614775377,-2.031997589395271,31.6227766016838,0.0,80.04933476448059
19,0.3893075966495372,1.0340274600553352,60.77358913253746,-2.0179032722939,56.23413251903491,0.0,95.38903880119324
20,0.3893156316569297,1.0340863117014278,108.06743749539886,-2.010038089172053,100.0,0.0,112.41024923324584
21,0.3893181704545371,1.0341045652319312,192.1712331102912,-2.0056359064742333,177.82794100389228,0.0,157.10652470588684
22,0.389318972911837,1.0341108512029868,341.73255818467726,-2.003165804200264,316.2277660168379,0.0,168.9858260154724
23,0.3893192266977284,1.0341125243717335,607.695154197768,-2.001779531392733,562.341325190349,0.0,204.3162326812744
24,0.3893193066097292,1.0341132144283078,1080.6512020827986,-2.001000317802821,1000.0,0.0,184.3929979801178
25,0.3893193193869405,1.0341152964784075,1921.69945541518,-2.000560167614802,1778.2794100389226,1.0,235.6273238658905
26,0.3893069146522859,1.0338922197461242,3414.408050668724,-2.00061058017522,3162.277660168379,5.0,1132.715796709061
27,0.38929379625025,1.03397327741642,6049.14304127494,-2.00040486907645,5623.413252,5.0,1374.0891690254211
