P_max,Omega_2,Omega_1,Mu1,Mu2,Gamma_e,number_of_fails,ComputTime
0,0.641572098740156,1.462458212702946,0.0014624562987791,-0.99999954939,-1001.000479965,0.001,0.0,551.1445326805115
1,0.641572,1.46246,0.0026,-0.999999,-563.430548,0.001778,1.0,728.2459471225739
2,0.641571,1.462467,0.004624,-0.999995,-317.257144,0.003162,1.0,747.4969570636749
3,0.641567,1.46249,0.008223,-0.999984,-178.843792,0.005623,3.0,900.284913778305
4,0.6415562058480455,1.4625591710801042,0.0146235648282796,-0.9999497398894528,-101.0049912525463,0.01,3.0,1030.8400130271912
5,0.6415214695313072,1.4627764802166274,0.0260009043954528,-0.99984201899242,-57.24289979179357,0.0177827941003892,3.0,954.7658314704896
6,0.6414115770025776,1.463468992799326,0.0462150127737978,-0.9994989596787892,-32.63807906462124,0.0316227766016837,0.0,667.2707891464233
7,0.6410644125342899,1.465659706148828,0.082060330371469,-0.998415505045159,-18.809334306242526,0.0562341325190349,2.0,719.9503724575043
8,0.6399745291806106,1.4725241282529191,0.1452448104391928,-0.9950542328201238,-11.04449961405842,0.0999999999999999,1.0,549.6467726230621
9,0.6366277017202617,1.4934110140271335,0.2546764952014236,-0.984982049213408,-6.692898897678333,0.1778279410038923,0.0,449.970388174057
10,0.6269971020188095,1.5518198664082017,0.4360653669130629,-0.9580786927455128,-4.252967605678856,0.3162277660168379,0.0,396.8430497646332
11,0.6030463940642374,1.6897530182780836,0.7148513382548376,-0.9006783923238926,-2.855613285831005,0.5623413251903491,0.0,335.79560899734497
12,0.5555242735928272,1.9558223284149008,1.114705907371344,-0.8089951650606878,-1.9999909822581603,1.0,0.0,302.3766803741455
13,0.4818628420500949,2.399354136591106,1.674570175341985,-0.6942514750769344,-1.428533546061591,1.7782794100389228,0.0,307.15721797943115
14,0.3901413411347526,3.0887839815911526,2.4647770752116074,-0.5721328241730907,-1.023658941643975,3.162277660168379,0.0,233.3946352005005
15,0.2947518662604532,4.130901487039752,3.5970211416652944,-0.455452530579493,-0.730118087508925,5.62341325190349,0.0,206.46211457252505
16,0.2089662677274137,5.692006230887565,5.240604038727732,-0.3521467750082814,-0.5169319633198013,10.0,0.0,190.82821989059448
17,0.140266359770086,8.023745063380309,7.648678800954208,-0.2658085531869368,-0.3633298301828306,17.78279410038923,0.0,151.0638587474823
18,0.0900389144750225,11.503493914669182,11.19850780892191,-0.1968037980130815,-0.253825580520539,31.6227766016838,0.0,185.9112720489502
19,0.0558044174913067,16.693157433088867,16.45114969632143,-0.1435304328048249,-0.1765434891197635,56.23413251903491,0.0,220.8921811580658
20,0.0336742074183867,24.42670357331859,24.23956999675316,-0.1034766565141398,-0.1224419169898734,100.0,0.0,251.04761004447937
21,0.0199197460220457,35.93959921414129,35.798435684497576,-0.0739543619448379,-0.0847853149229306,177.82794100389228,1.0,383.718327999115
22,0.0116130578362256,53.06139843705136,52.95723606540068,-0.0525103191969019,-0.0586688193031323,316.2277660168379,0.0,363.35022926330566
23,0.0066994706999248,78.50102946102349,78.42556225105967,-0.0370992357893251,-0.0405898259473086,562.341325190349,1.0,462.5953640937805
24,0.0038358673810949,116.27030623337804,116.2163789080833,-0.0261096037677958,-0.0280834930451382,1000.0,2.0,518.5139493942261
25,0.0021845449048326,172.30908884221088,172.27091939597238,-0.0183182539431024,-0.0194326351975562,1778.2794100389226,6.0,823.7132616043091
26,0.0012394046522491,255.4270121756265,255.40013476290383,-0.0128181221544255,-0.0134465228559405,3162.277660168379,10.0,1165.0475678443909
27,0.0007013026873167,379.3904772798504,379.3714481413343,-0.0089319400025328,-0.0092859972254443,5623.41325190349,13.0,1702.350375175476
