P_max,Omega_1,Omega_2,Mu_plus,Mu_minus,Gamma_e,Delta_1,Delta_2,number_of_fails,CompTime
0,0.0404364477642634,8.937438135375594,8.453422406750118,-0.2485865924046144,-0.7060625427519002,0.5,4.0,4.0,0.0,1023.838479757309
1,0.0414924694410277,8.634310041676539,8.455612307287396,-0.2559423822797191,-0.7192643756398328,0.5,4.0,3.84,1.0,3450.149961948395
2,0.0426015862042785,8.331945019047824,8.457387412042056,-0.2637528417868578,-0.7333217373693544,0.5,4.0,3.68,0.0,2099.6523876190186
3,0.0437673770705619,8.030411484471706,8.458610421081765,-0.2720580140124801,-0.7483304382087277,0.5,4.0,3.5200000000000005,0.0,1561.8287863731384
4,0.044993646977135,7.7297613394186175,8.45929048117908,-0.2809096039976276,-0.764387580273785,0.5,4.0,3.3600000000000003,0.0,959.9030563831328
5,0.0462844157827341,7.430360764590498,8.459304938128337,-0.2903507496227832,-0.7815841874241136,0.5,4.0,3.2,0.0,1604.9933650493622
6,0.0476438934298187,7.1323577509252765,8.458598002986461,-0.3004458303406022,-0.8000452287286286,0.5,4.0,3.04,0.0,1259.016116142273
7,0.0490764347773418,6.835904055549479,8.456918224387298,-0.3112552714536902,-0.8198998053132152,0.5,4.0,2.88,0.0,2197.9262928962708
8,0.0505864650584446,6.54125309377519,8.454283433725436,-0.3228537867727068,-0.8412969039285506,0.5,4.0,2.72,0.0,1193.3065445423126
9,0.0521783632239223,6.248798639191051,8.450345627819683,-0.3353158046749384,-0.8643968316421287,0.5,4.0,2.5600000000000005,2.0,9998.074131011965
10,0.0538562854514958,5.959076717438231,8.445120255824438,-0.348729858848406,-0.8893697508942879,0.5,4.0,2.4000000000000004,0.0,1697.2742846012115
11,0.0556239042609105,5.672426632255528,8.438218824092095,-0.3631836000811086,-0.9164023628460508,0.5,4.0,2.24,0.0,2823.0673031806946
12,0.0574840297452099,5.3896580738209625,8.429485806746502,-0.3787710473456689,-0.9456994285919216,0.5,4.0,2.08,0.0,1830.785710811615
13,0.0594380678410878,5.11133889023408,8.41858117566466,-0.3956039728101413,-0.9774746069828286,0.5,4.0,1.92,0.0,1045.8084568977356
14,0.0614852567191685,4.8388050413384125,8.405050086345952,-0.4137283521440685,-1.0118353123247643,0.5,4.0,1.7599999999999998,0.0,1395.5748245716095
15,0.0636216082048835,4.5728634281407246,8.388642494614658,-0.4332570472391413,-1.0489956854619311,0.5,4.0,1.6000000000000003,0.0,2718.8060438632965
16,0.0658384698725846,4.315209930519949,8.369102644275292,-0.4542021248178348,-1.0889720059912589,0.5,4.0,1.4400000000000004,0.0,1621.8480367660522
17,0.0681206291869381,4.067607665584798,8.345826935015898,-0.4765421344511492,-1.1316963234914523,0.5,4.0,1.2800000000000002,0.0,1465.9008860588074
18,0.0704439241681138,3.832288897972747,8.318537368772645,-0.5001293759210736,-1.1768054443158178,0.5,4.0,1.12,0.0,2888.1881098747253
19,0.0727724522631934,3.612122819463567,8.286882857624807,-0.5246522017498654,-1.2235818275005077,0.5,4.0,0.96,0.0,1747.6183025836945
20,0.0750557491969134,3.410488862610232,8.25061874101658,-0.5495619524199575,-1.2707669548951654,0.5,4.0,0.7999999999999998,0.0,1046.649160861969
21,0.0772268177341463,3.231449416384391,8.209483730034048,-0.5739498042800919,-1.3163079019639308,0.5,4.0,0.6399999999999997,0.0,1203.9126493930817
22,0.0792026105229602,3.0798181702282026,8.163603783593004,-0.5965351019851634,-1.3573003762255904,0.5,4.0,0.4800000000000004,0.0,3493.801265478134
23,0.0808891804607508,2.96045831312686,8.112982819018379,-0.6156649862238304,-1.390106451254924,0.5,4.0,0.3200000000000003,0.0,2588.788890123368
24,0.082193290495227,2.877913490909787,8.05806809779807,-0.6295919311643325,-1.4108501785534364,0.5,4.0,0.1600000000000001,0.0,1826.386539697647
25,0.0830396383209587,2.835156617495655,7.99941795941465,-0.6368536312291744,-1.4164375001469174,0.5,4.0,0.0,1.0,1866.84552192688
26,0.0833882958589305,2.832919670005664,7.937468238445341,-0.6367607584791367,-1.4055497740413534,0.5,4.0,-0.1600000000000001,0.0,1237.3400716781616
27,0.0832441267799243,2.8689452915417384,7.872861314895197,-0.6296837918169053,-1.3793022476963812,0.5,4.0,-0.3199999999999998,0.0,1800.851903438568
28,0.0826531370771838,2.938633423788428,7.806084196564448,-0.616875274960767,-1.3407653132535922,0.5,4.0,-0.48,0.0,1378.2867019176483
29,0.0816883449853591,3.03649641019116,7.737315762266649,-0.5999391317176004,-1.2937558254994077,0.5,4.0,-0.6400000000000001,0.0,2236.0142171382904
30,0.0804327718165557,3.1565025137546057,7.666891328885661,-0.580524736865468,-1.2421457647461538,0.5,4.0,-0.7999999999999998,0.0,3509.7467386722565
31,0.0789660039126945,3.293262709707229,7.595263663576661,-0.5599598432540382,-1.188973980946682,0.5,4.0,-0.96,0.0,2031.8394441604607
32,0.0773565947454669,3.4424316438373306,7.5227564398517615,-0.5391994722771811,-1.1364091494324502,0.5,4.0,-1.12,0.0,942.6172416210176
33,0.0756594269600654,3.600296804679786,7.449850364943606,-0.5188852677677056,-1.085851989306721,0.5,4.0,-1.2799999999999998,0.0,1666.8479120731354
34,0.0739161406726239,3.764193050910845,7.377226167156662,-0.4993769474991377,-1.0380985541650232,0.5,4.0,-1.44,0.0,1394.5987725257874
35,0.0721569990014643,3.9320182877701417,7.30551071056452,-0.4808732319710431,-0.9935197996431052,0.5,4.0,-1.6,0.0,3141.2572391033173
