P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
201,0.03738472706159766,6.415465902957148,7.0501173144415965,0.28314977578380285,0.5,-4.0,4.0,0.0,410.8203685283661
369,0.03011312213489697,6.410650307493147,10.369271541703998,0.438012694169334,0.5,-3.84,-4.0,0.0,700.1573643684387
545,0.030754271860925393,6.41065030686456,10.057630131840089,0.44212246531034405,0.5,-3.84,-3.84,1.0,735.7343454360962
703,0.03142134142571392,6.410650301840029,9.752764195892539,0.44611784269022925,0.5,-3.84,-3.68,0.0,604.4746417999268
899,0.03211564464367525,6.410650301305541,9.435776845795829,0.4510560771784896,0.5,-3.84,-3.52,1.0,688.7878484725952
1034,0.03283852261423199,6.4106502822147,9.125975892558778,0.455883360068709,0.5,-3.84,-3.36,0.0,450.9365077018738
95,0.03359130498573753,6.410650306976478,8.80952259831529,0.4616164048448914,0.5,-3.84,-3.2,0.0,573.6904630661011
234,0.03437528947234897,6.41065030687581,8.49967183243806,0.4671877586474199,0.5,-3.84,-3.04,1.0,600.5392429828644
370,0.035192116922072754,6.410650307085332,8.195322722242725,0.472482729650723,0.5,-3.84,-2.88,0.0,545.0649347305298
512,0.03604251275398861,6.41065030641447,7.886735387938449,0.47875284569108567,0.5,-3.84,-2.7199999999999998,0.0,611.7642357349396
716,0.03692803543868473,6.410650305589938,7.584991687945207,0.4847341182696424,0.5,-3.84,-2.56,1.0,803.9971749782562
927,0.03784925235326913,6.41065030711936,7.280840270753231,0.4915941552293369,0.5,-3.84,-2.4,1.0,709.8702466487885
1098,0.03880673308478237,6.410650296771381,6.976269865189751,0.49931228567149877,0.5,-3.84,-2.24,0.0,541.35111784935
61,0.03980062932711868,6.410650305694892,6.678194740805845,0.5066826852256445,0.5,-3.84,-2.08,0.0,432.5656199455261
155,0.04083010165611141,6.410650306358634,6.38153817553143,0.5148502440296492,0.5,-3.84,-1.92,0.0,432.73173356056213
308,0.041893593954657846,6.4106503065679945,6.094549090345575,0.5226431554960945,0.5,-3.84,-1.7599999999999998,1.0,617.0411107540131
432,0.04298836275994146,6.410650307005534,5.809787135650618,0.5311608467670281,0.5,-3.84,-1.6,0.0,492.52404713630676
547,0.0441095739949414,6.4106503071589795,5.536266902080262,0.5392783472760143,0.5,-3.84,-1.44,0.0,499.9495403766632
704,0.045250477197390136,6.4106502990682355,5.265108307276204,0.5479909862093586,0.5,-3.84,-1.2799999999999998,0.0,588.4904401302338
809,0.0464015567225784,6.410650302277066,5.007657830553917,0.5563940291813303,0.5,-3.84,-1.12,0.0,391.83242988586426
88,0.047549619608402025,6.410650306981115,4.7677179904547415,0.5645510555286659,0.5,-3.84,-0.96,0.0,528.836455821991
224,0.04867776869161338,6.4106503054623705,4.539291208863107,0.5721907980814305,0.5,-3.84,-0.7999999999999998,1.0,576.4972922801971
351,0.049764546427475395,6.410650301799858,4.338127879536614,0.5774404198121221,0.5,-3.84,-0.6400000000000001,0.0,541.7391273975372
475,0.05078489914124728,6.410650307462064,4.156602152787052,0.5815836836320145,0.5,-3.84,-0.48,0.0,532.7503876686096
645,0.051710831856216596,6.410650301502608,4.001776094296254,0.5835680974918567,0.5,-3.84,-0.31999999999999984,1.0,678.3857271671295
780,0.05251437526948141,6.41065030747542,3.8838959159332047,0.5816027778030621,0.5,-3.84,-0.16000000000000014,0.0,511.7871193885803
907,0.05317039530437658,6.410650307001874,3.80164211749772,0.5759625535259101,0.5,-3.84,0.0,0.0,397.29945611953735
67,0.05366068718498491,6.410650297488553,3.753751696881535,0.5668184345747563,0.5,-3.84,0.16000000000000014,0.0,462.9653284549713
146,0.05397599267234274,6.410650298441174,3.7460190405288776,0.5534782507372547,0.5,-3.84,0.3200000000000003,0.0,358.2644901275635
263,0.0541169061235715,6.410650297773027,3.7668402721619705,0.5379792694814935,0.5,-3.84,0.4800000000000004,0.0,457.786824464798
387,0.05409239776652093,6.410650304696633,3.816510119643107,0.5204190263748245,0.5,-3.84,0.6399999999999997,0.0,533.5543706417084
518,0.053917285550749816,6.41065029906698,3.8839200193760774,0.5027098433993422,0.5,-3.84,0.7999999999999998,0.0,528.842208147049
641,0.053609255259878946,6.410650302155553,3.9755977219622745,0.48395294525926247,0.5,-3.84,0.96,0.0,509.44599437713623
761,0.05318674588127319,6.410650297442217,4.079461060961052,0.4659292540616413,0.5,-3.84,1.12,0.0,432.75613260269165
65,0.05266739041949759,6.410650301152243,4.202226731173113,0.44773137265781005,0.5,-3.84,1.2800000000000002,0.0,455.95593452453613
