P_max,Omega_1,Omega_2,Mu_plus,Mu_minus,Gamma_e,Delta_1,Delta_2,number_of_fails,CompTime
0,0.0617046613619551,11.31442864591378,2.7519301168293837,-2.0332720920682705,-1.011065262575155,0.5,4.0,4.0,0.0,1274.7323615550995
1,0.0625257469614463,11.144157786464945,2.774862975641,-2.027779136615388,-1.0043956524174695,0.5,4.0,3.84,0.0,1273.459011554718
2,0.063169194538761,10.972174551770692,2.819188522171304,-2.009976783380972,-0.9914170688108028,0.5,4.0,3.68,0.0,1177.758603811264
3,0.0636434532489629,10.797923866070782,2.8839789843767543,-1.981402661512167,-0.9729549081514308,0.5,4.0,3.5200000000000005,0.0,5810.298238039017
4,0.0639645955100678,10.621133885108314,2.9677135082805988,-1.944179044491107,-0.9500795341397604,0.5,4.0,3.3600000000000003,0.0,1049.733449935913
5,0.0641537721648958,10.44144905927018,3.0687393000304573,-1.900551408670512,-0.9239523302748964,0.5,4.0,3.2,0.0,1790.5886154174805
6,0.0642345915315671,10.258498573076965,3.18512037668465,-1.852746364430757,-0.895686091426418,0.5,4.0,3.04,0.0,1591.8779344558716
7,0.0642309361908696,10.072340054695548,3.315014837707384,-1.802690149611528,-0.8662462335424199,0.5,4.0,2.88,0.0,1245.995237827301
8,0.0641654374138535,9.88272561115116,3.456735228846198,-1.7519391708205974,-0.8364238268857744,0.5,4.0,2.72,0.0,1372.5099046230316
9,0.0640585934101456,9.689737157283457,3.608839078942404,-1.7016668387260458,-0.80678866919902,0.5,4.0,2.5600000000000005,0.0,1559.9507241249084
10,0.0639283971031849,9.493116395647013,3.76987188629813,-1.6527892113069655,-0.7777846359689716,0.5,4.0,2.4000000000000004,0.0,1969.2013986110687
11,0.0637903106575623,9.29320868081889,3.9388390241797984,-1.6058554562010507,-0.7496861846875811,0.5,4.0,2.24,0.0,1368.5974397659302
12,0.0636574457309468,9.08986112852579,4.114577882700795,-1.561303434885787,-0.7226909879346324,0.5,4.0,2.08,0.0,1628.493284225464
13,0.0635408462248888,8.883387084528831,4.296351588894246,-1.519336895740934,-0.6968890761772992,0.5,4.0,1.92,0.0,975.7001254558564
14,0.0634498068825868,8.673519210759032,4.483256898490187,-1.48011031221499,-0.6723396375685239,0.5,4.0,1.7599999999999998,0.0,1102.1492631435394
15,0.0633921888388992,8.46115294646534,4.674799861300432,-1.443644652098046,-0.6490407689568518,0.5,4.0,1.6000000000000003,0.0,949.8701224327089
16,0.0633747130154777,8.24575683629715,4.870226003497463,-1.409948434900515,-0.6269776843986853,0.5,4.0,1.4400000000000004,0.0,792.4208056926727
17,0.0634032229663134,8.027770910576574,5.069056007638733,-1.378982129471094,-0.6061100871632382,0.5,4.0,1.2800000000000002,0.0,5742.36400437355
18,0.0634829170610953,7.807268693121449,5.270752744219951,-1.35069082532821,-0.5863919008961409,0.5,4.0,1.12,0.0,1161.1468625068665
19,0.0636185521855729,7.584477106546805,5.474793836892539,-1.3249923672389805,-0.5677548034546265,0.5,4.0,0.96,0.0,1453.4979033470154
20,0.0638146231837739,7.359621726755287,5.681004316177436,-1.3017980813161454,-0.5501384268038323,0.5,4.0,0.7999999999999998,0.0,1036.435078382492
21,0.0640755223013452,7.13274248211529,5.888738779836437,-1.281061800589729,-0.5334895490263536,0.5,4.0,0.6399999999999997,0.0,939.0213034152983
22,0.0644056825532338,6.903992622867851,6.097922164550532,-1.2626988760949538,-0.5177374762599534,0.5,4.0,0.4800000000000004,0.0,935.352668762207
23,0.0648097082303138,6.673518870189223,6.30805558366369,-1.2466775222716069,-0.50283107225134,0.5,4.0,0.3200000000000003,1.0,1127.5477983951569
24,0.065292495202283,6.441544697678344,6.518852662241383,-1.232940477274686,-0.4887042307767131,0.5,4.0,0.1600000000000001,0.0,3681.034944295883
25,0.0658593432482764,6.208076249280784,6.730088839460004,-1.221482934095394,-0.4753023641680082,0.5,4.0,0.0,0.0,1002.496467590332
26,0.0665160628365599,5.97339156822478,6.9414579895441095,-1.2123077127026942,-0.4625929054721586,0.5,4.0,-0.1600000000000001,0.0,1305.100200176239
27,0.0672690792514357,5.737576472352212,7.152561812091545,-1.2054417476157462,-0.4505202208041263,0.5,4.0,-0.3199999999999998,0.0,827.3739297389984
28,0.0681255380410185,5.501013036970475,7.363043651847635,-1.200967924958312,-0.4390596265083734,0.5,4.0,-0.48,0.0,671.2027568817139
29,0.069093416881914,5.263852102147386,7.572444060478718,-1.1989556583625198,-0.4281780773138085,0.5,4.0,-0.6400000000000001,0.0,887.4805777072906
30,0.0701816501053196,5.026461604676214,7.780447983751756,-1.1995363661247231,-0.4178540159106261,0.5,4.0,-0.7999999999999998,0.0,1113.9352169036863
31,0.0714002725912861,4.78918023460075,7.986507882486479,-1.2028629162963422,-0.4080624800525619,0.5,4.0,-0.96,0.0,4874.508207559586
32,0.0727605893362563,4.5522854604334295,8.190262480293697,-1.209126141411853,-0.398784468882315,0.5,4.0,-1.12,0.0,970.584255218506
33,0.0742753752160141,4.316207959374184,8.391260420328889,-1.2185692976097688,-0.390004569412409,0.5,4.0,-1.2799999999999998,0.0,952.665941476822
34,0.075959106028009,4.081240422628356,8.589336971164366,-1.2314542819469074,-0.3817039677004153,0.5,4.0,-1.44,0.0,1314.8933780193329
35,0.0778282160895965,3.847647179910601,8.783885261381943,-1.2481471250477147,-0.3738722928791425,0.5,4.0,-1.6,0.0,925.9783709049224
36,0.0799013683830233,3.615753717411681,8.974948350688324,-1.269016207451509,-0.3664766418962231,0.5,4.0,-1.7599999999999998,0.0,1196.386038064957
