P_max,Omega_1,Omega_2,Mu1,Gamma_e,number_of_fails,ComputTime
0.3893193325525725,1.4624646699603152,0.0007641647463355727,-1.000250166846814,0.001,0.0,201.0818386077881
0.3893193088324531,1.4624885603086986,0.0013588339753661072,-1.0004641424409408,0.0017782794100389228,0.0,217.6524302959442
0.3893192331920409,1.4624736935123313,0.002416348964985996,-1.0008500011824646,0.0031622776601683794,0.0,170.0537531375885
0.38931899407148557,1.4624256520029637,0.004296996101082914,-1.001547403537944,0.005623413251903491,0.0,140.19038343429565
0.3893182375261795,1.462495024035355,0.007641390727677007,-1.0027145722791455,0.01,0.0,178.00452303886414
0.38931584357979704,1.4624419345546098,0.01358847744229381,-1.0048104713414947,0.01778279410038923,0.0,162.7420358657837
0.3893082655707077,1.4624625648703056,0.02416516912807152,-1.008572769981206,0.03162277660168379,0.0,161.6566517353058
0.389284248836014,1.4624762385580925,0.042973122719077446,-1.0151614283173012,0.056234132519034905,0.0,131.88912153244019
0.3892079530897991,1.4624740288026608,0.07643018728572396,-1.0266606467002453,0.09999999999999999,0.0,120.79073596000671
0.38896420541423427,1.462497458171346,0.13597645327334243,-1.0464654232348631,0.1778279410038923,0.0,104.5066511631012
0.38817464299502763,1.4633991424450516,0.2420520676601149,-1.0786767577949914,0.31622776601683794,0.0,84.09332180023193
0.38553851030216724,1.4717097324300576,0.4303414078596285,-1.1223084072617988,0.5623413251903491,0.0,75.1731059551239
0.37658350875916824,1.5345372284175904,0.748021014263252,-1.1354144533832713,1.0,0.0,79.87914443016052
0.35148538905120197,1.7756354892899204,1.2083201516135467,-1.031484717839206,1.7782794100389228,0.0,63.21914267539978
0.30499906000876154,2.2662141182309465,1.8338412873084353,-0.8483585143405541,3.162277660168379,0.0,62.65837359428406
0.24426685079368138,3.0589817141756295,2.7152712706383326,-0.6604556038706488,5.62341325190349,0.0,52.607707023620605
0.18147616099602915,4.269197789004653,3.9920765538773555,-0.49762966104123474,10.0,0.0,49.84838652610779
0.12634948707467933,6.089584124490199,5.866716305237247,-0.3667852051067185,17.78279410038923,0.0,58.104554176330566
0.08340454680656377,8.814848457212051,8.637935459953889,-0.26615034807849935,31.622776601683796,0.0,52.1037483215332
0.05279020786634956,12.88618331460768,12.748229307248028,-0.19095560305442794,56.23413251903491,0.0,72.03056716918945
0.03235525319485068,18.959661989664838,18.8542392316716,-0.13588758260875577,100.0,0.0,82.683518409729
0.01935901885385876,28.008493945447007,27.929515677181303,-0.09612636482230681,177.82794100389228,0.0,104.51614475250244
0.011379840451753869,41.47568855648114,41.417509695505956,-0.06770176737098589,316.2277660168379,0.0,131.66328358650208
0.006604056922770351,61.49923803858868,61.456960064946315,-0.04752528451004902,562.341325190349,0.0,126.58374452590942
0.0037973106568918403,91.24674600612067,91.21634685383066,-0.033276202374564634,1000.0,0.0,142.93629384040833
0.0021691072597487967,135.41051648155724,135.38882663543046,-0.023250862227494798,1778.2794100389226,0.0,176.56200528144836
0.0012332662077203806,200.57781748491755,200.56165848210105,-0.016246601631567874,3162.277660168379,0.0,218.7123773097992
0.000698874462453728,295.5901460922945,295.57673044980356,-0.011391592278257413,5623.41325190349,0.0,208.42890453338623
0.0003950326276106952,430.03836304623894,429.85629095157435,-0.008076983433546018,10000.0,0.0,490.37132239341736
