P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.23055354407885628,0.2367983483765618,2.3413710596432438,5.88678745327838,0.09999999999999999,0,76.6522307395935
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.22985322795845423,0.07496390810048775,2.355312906179929,18.69374560442649,0.03162277660168379,0,82.75089263916016
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.23014831604738495,0.1330232694678154,2.34925485908016,10.436707815469276,0.056234132519034905,0,83.10335445404053
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.22601811523357077,1.174179170996184,2.5002879705711365,1.1233286730281287,0.5623413251903491,0,168.64095950126648
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.213649232041738,1.8109301287840949,2.8192433113078383,0.6794390582982843,1.0,0,168.7270004749298
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.1584473723129415,3.4098403646610613,4.173427781152695,0.25001982933730676,3.162277660168379,0,179.7722249031067
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.2302397095147495,0.7150616419235784,2.370369213149823,1.913181163995259,0.31622776601683794,0,180.01093673706055
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.2308785874650007,0.41553170210105783,2.3388889020313597,3.338906628592058,0.1778279410038923,0,181.08131098747253
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.19094112081617481,2.510267040115912,3.3395954809240442,0.4136536963119517,1.7782794100389228,0,188.58074831962585
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.1222928300735348,4.431666464347564,5.3160963471044,0.14799947336475147,5.62341325190349,0,201.6816804409027
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.060786420922051554,6.936770831761576,8.624907535258561,0.04860224453452426,17.78279410038923,0,222.9101047515869
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.08852581490602629,5.5831120395536065,6.783930098358869,0.0855385300306663,10.0,0,224.13472533226013
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.0400213863400521,8.59547021906741,10.891966333969126,0.02747957576303981,31.622776601683796,0,227.56792163848877
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.02550217907915083,10.723585574004296,13.685290048476269,0.01567049285301316,56.23413251903491,0,250.37670516967773
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.01584671158147077,13.520231339532266,17.191068003086016,0.009014789827712404,100.0,0,290.9720928668976
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.009620915602814103,13.967282973314212,17.991796543721556,0.0051299665849596585,177.82794100389228,0,372.84713912010193
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.005704273576347977,14.153238475583132,18.374312968306118,0.002823223973423053,316.2277660168379,0,459.3138611316681
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.0033202632572469177,14.338144518827491,18.69239819445402,0.0014692535595977117,562.341325190349,0,611.6819312572479
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.0019080315281640892,14.520326753206572,18.887393791517624,0.0006383418087446903,1000.0,0,786.3612241744995
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.0010874962346091185,14.6999897987015,19.169501447566923,0.000256620743260758,1778.2794100389226,0,1381.5206892490387
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.0006167299873815643,14.877862541214947,19.392629437694133,9.489669702780453e-05,3162.277660168379,0,1941.2531638145447
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.0003487153404189297,15.05340830766309,19.627861753172482,-4.982619372328963e-05,5623.41325190349,0,3669.381284236908
P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
0.00019682750688788416,15.22685893707028,19.81954889829116,-5.322120605127965e-05,10000.0,0,6107.333927631378
