P_max,Omega_1,Omega_2,Mu,t,Gamma_e,number_of_fails,ComputTime
0,0.2930439836151696,0.0017982794170877765,1.0005547804541903,1117.7459635221448,1119.7457630629456,0.0017782794100389228,5163.0,105.96146488189697
1,0.2930480336731922,0.0031822776753290937,1.0001299399682537,629.4681948523489,631.4681559346186,0.0031622776601683794,5163.0,106.29828357696533
2,0.2930488327105437,0.005603413114207381,1.0000209770000965,355.2912580517627,357.2912349978068,0.005623413251903491,5107.0,103.71165060997009
3,0.29304758934002384,0.00997999988166215,1.0000227274436657,199.2014055996176,201.20136919196318,0.01,4829.0,94.65510869026184
4,0.2930424471831155,0.01776279353634589,1.0000725421716345,111.53480641030487,113.53467696355227,0.01778279410038923,4391.0,93.29087209701538
5,0.29302580399642747,0.03160277476952676,1.000255102477848,62.271083370623586,64.2706585136034,0.03162277660168379,3397.0,79.53840208053589
6,0.2929730944125192,0.05618975518247915,1.00079377666381,34.58975472795065,36.58843497780556,0.056234132519034905,2273.0,54.90919518470764
7,0.2928069878515616,0.09975208661527335,1.002503349704245,19.043890036644115,21.039737022649213,0.09999999999999999,1964.0,48.63027858734131
8,0.29228759642290664,0.17645849349238035,1.0078679223229985,10.327255372555321,12.31429498197766,0.1778279410038923,1684.0,42.28709816932678
9,0.2907007079067145,0.30893007017696716,1.0242589262012958,5.472159178609187,7.432910505441088,0.31622776601683794,1129.0,30.757601976394653
10,0.2861510660908548,0.5268958979897762,1.0708546437461948,2.8195026336288755,4.7099522484456315,0.5623413251903491,2007.0,48.05885887145996
11,0.2748251301750956,0.8562268532176376,1.1850993253360649,1.4272976884105777,3.1679147698020707,1.0,1151.0,30.98485779762268
12,0.2523131352122112,1.3150200556272225,1.4163324060523241,0.7286321978722785,2.2357003206119215,1.7782794100389228,4230.0,92.3529531955719
13,0.21763307590965397,1.937403998183569,1.8180185207068547,0.3824925751783561,1.615809523626993,3.162277660168379,3487.0,78.0568175315857
14,0.1751242819629512,2.7908640292936813,2.4582748477573717,0.20713855161583855,1.176493955012052,5.62341325190349,4235.0,95.14137291908264
15,0.13179817772583835,3.974400627015771,3.4334476918335453,0.11511374029311339,0.8588071074701138,10.0,3529.0,75.73140358924866
16,0.09354244166087092,5.614863051690462,4.873710603581694,0.0651718089425426,0.629792864296961,17.78279410038923,4584.0,96.75727462768555
17,0.06326475046479078,7.868435442842097,6.944104265577504,0.03732496427064641,0.4660509523290667,31.622776601683796,3931.0,86.30803084373474
18,0.04118200462761948,10.938832234054718,9.854729225204345,0.021489503952267903,0.34899095718853923,56.23413251903491,4708.0,97.79270648956299
19,0.02601425645221662,15.119869937990693,13.896139851058345,0.012377811035475451,0.26412959787829404,100.0,4628.0,97.69159007072449
20,0.016046418389516644,20.837353503744865,19.485326304584035,0.007113310830976809,0.20133376474436498,177.82794100389228,5062.0,102.32647943496704
21,0.009710985669632065,28.68009067755336,27.20420048838693,0.004074772318190995,0.15408975862985513,316.2277660168379,5082.0,103.63408613204956
22,0.005787484069267994,39.44848189649093,37.849537916873075,0.0023266474006873473,0.11817481468779545,562.341325190349,5115.0,102.28739500045776
23,0.0034069952516096623,54.23109914468492,52.508250785881195,0.001324639794752028,0.09070742200103896,1000.0,5795.0,98.02865791320801
24,0.0011486611262559625,102.3021360600217,100.32677227463762,0.00042638205414346857,0.053435667626927835,3162.277660168379,5749.0,84.58096885681152
25,0.00037767293720041397,192.39188740823005,190.15770119743223,0.00013632977595728863,0.03141003534389965,10000.0,5764.0,89.45779871940613
