P_max,Omega_1,Omega_2,Mu,Gamma_e,number_of_fails,ComputTime
1,0.2294230351494937,0.0042528337859127,2.3657164800689205,326.6135166475475,0.0017782794100389,0.0,458.0702533721924
2,0.2294336922294398,0.0074481728249856,2.3650659389012616,189.4823764731055,0.0031622776601683,0.0,484.4594020843506
3,0.2294877376745709,0.0133072721551768,2.364262609219089,105.58418990932398,0.0056234132519034,0.0,860.2325394153595
4,0.2295571204432269,0.0237244018493851,2.362945247220699,59.03585033101612,0.01,0.0,1056.3663218021393
5,0.2296691693650949,0.0422573446547638,2.3598606395906128,33.07447282965409,0.0177827941003892,0.0,1495.8002853393557
6,0.2298532279584542,0.0749639081004877,2.355312906179929,18.69374560442649,0.0316227766016837,0.0,82.75089263916016
7,0.2301505061620489,0.1334204820174296,2.3489677178360377,10.465083596288096,0.0562341325190349,0.0,3148.636899471283
8,0.2305535440788562,0.2367983483765618,2.341371059643244,5.88678745327838,0.0999999999999999,0.0,76.6522307395935
9,0.2308785874650007,0.4155317021010578,2.33888890203136,3.338906628592058,0.1778279410038923,0.0,181.08131098747253
10,0.2302397095147495,0.7150616419235784,2.370369213149823,1.913181163995259,0.3162277660168379,0.0,180.01093673706055
11,0.2260181152335707,1.174179170996184,2.5002879705711365,1.1233286730281289,0.5623413251903491,0.0,168.64095950126648
12,0.213649232041738,1.8109301287840949,2.8192433113078383,0.6794390582982843,1.0,0.0,168.7270004749298
13,0.1909411208161748,2.510267040115912,3.339595480924044,0.4136536963119517,1.7782794100389228,0.0,188.58074831962583
14,0.1584473723129415,3.4098403646610613,4.173427781152695,0.2500198293373067,3.162277660168379,0.0,179.7722249031067
15,0.1222928300735348,4.431666464347564,5.3160963471044,0.1479994733647514,5.62341325190349,0.0,201.6816804409027
16,0.0885258149060262,5.583112039553607,6.783930098358869,0.0855385300306663,10.0,0.0,224.13472533226013
17,0.0607864209220515,6.936770831761576,8.624907535258561,0.0486022445345242,17.78279410038923,0.0,222.9101047515869
18,0.0400213863400521,8.59547021906741,10.891966333969126,0.0274795757630398,31.6227766016838,0.0,227.5679216384888
19,0.0255021790791508,10.723585574004296,13.685290048476269,0.0156704928530131,56.23413251903491,0.0,250.3767051696777
20,0.0158467115814707,13.520231339532266,17.191068003086016,0.0090147898277124,100.0,0.0,290.9720928668976
21,0.0096209156028141,13.967282973314212,17.991796543721556,0.0051299665849596,177.82794100389228,0.0,372.84713912010193
22,0.0057042735763479,14.153238475583132,18.37431296830612,0.002823223973423,316.2277660168379,0.0,459.3138611316681
23,0.0033202632572469,14.338144518827493,18.69239819445402,0.0014692535595977,562.341325190349,0.0,611.6819312572479
24,0.001908031528164,14.520326753206572,18.887393791517624,0.0006383418087446,1000.0,0.0,786.3612241744995
25,0.0010874962346091,14.6999897987015,19.169501447566923,0.0002566207432607,1778.2794100389226,0.0,1381.5206892490387
26,0.0006167299873815,14.877862541214949,19.392629437694133,9.489669702780451e-05,3162.277660168379,0.0,1941.253163814545
27,0.0003487153404189,15.05340830766309,19.62786175317248,-4.982619372328963e-05,5623.41325190349,0.0,3669.381284236908
