P_max,Gamma_e
0,0.9990019940228964,0.001
1,0.998228011632976,0.0017782794100389
2,0.9968575348711114,0.0031622776601683
3,0.9944387877701656,0.0056234132519034
4,0.9901942201860618,0.01
5,0.9828180525796052,0.0177827941003892
6,0.9702076680100888,0.0316227766016837
7,0.94920801796526,0.0562341325190349
8,0.9156059092591036,0.0999999999999999
9,0.8647771658767458,0.1778279410038923
10,0.7932763526692028,0.3162277660168379
11,0.70098725683644,0.5623413251903491
12,0.5925925925925926,1.0
13,0.4770790186622669,1.7782794100389228
14,0.3651754984389594,3.162277660168379
15,0.2660756411159838,5.62341325190349
16,0.1851851851851851,10.0
17,0.1237274441105546,17.78279410038923
18,0.0798106269857421,31.6227766016838
19,0.049991950775516,56.23413251903491
20,0.0305726087214703,100.0
21,0.0183414979193753,177.82794100389228
22,0.0108385066073098,316.2277660168379
23,0.006329754460123,562.341325190349
24,0.0036631399736285,1000.0
25,0.0021051903637954,1778.2794100389226
26,0.0012034269276536,3162.277660168379
27,0.0006851635222222,5623.41325190349
28,0.000388902738023,10000.0
