P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
0,0.0668161790719665,11.078707952881787,13.104530888658603,0.144090304316354,5.0,-4.0,-4.0,0.0,170.92896628379822
1,0.0677819464437412,11.145555163515995,12.478186325826618,0.1456219735825265,5.0,-4.0,-3.84,0.0,157.1402838230133
2,0.0687259962612762,11.067389999685108,12.947669701118178,0.143977914821641,5.0,-4.0,-3.68,0.0,175.50402641296387
3,0.0697450453065306,11.146453746586843,12.482728302205595,0.1453299053252136,5.0,-4.0,-3.52,0.0,231.67372465133667
4,0.0707074327357292,11.146453914998746,12.447917221006694,0.1451760558908628,5.0,-4.0,-3.36,0.0,163.07864785194397
5,0.0716834827797277,11.146453967004774,12.115644611952844,0.1458795598071186,5.0,-4.0,-3.2,0.0,179.71976137161255
6,0.0726602527985432,11.146453927808736,11.971903766214549,0.1465281854531209,5.0,-4.0,-3.04,0.0,188.01565432548523
7,0.0736421398178143,11.146453999374357,11.739213481686358,0.1472016144151305,5.0,-4.0,-2.88,0.0,190.703985452652
8,0.0746315368541357,11.146454003301937,11.510690437121928,0.1478464014749432,5.0,-4.0,-2.72,1.0,313.4459264278412
9,0.0756044543064576,11.14645400381922,11.262071072436829,0.1443128799873126,5.0,-4.0,-2.56,0.0,154.85647678375244
10,0.076627587195864,11.14645400274533,11.041959389255428,0.1496495548782207,5.0,-4.0,-2.4,0.0,274.60695028305054
11,0.0776306803972643,11.14645400355333,10.831594875543727,0.1502478278204125,5.0,-4.0,-2.24,0.0,213.89885902404785
12,0.0786327147156834,11.146454000144828,10.633278113556514,0.1508572254378959,5.0,-4.0,-2.08,0.0,167.38720965385437
13,0.0796221879686059,11.146453997256714,10.418734327173418,0.1517311546138404,5.0,-4.0,-1.92,0.0,146.79544067382812
14,0.0806147699437144,11.146454000537783,10.21630156788925,0.152573141329448,5.0,-4.0,-1.7599999999999998,0.0,171.34441471099854
15,0.0816053999601837,11.146454000350364,10.03581927100144,0.1531141424084608,5.0,-4.0,-1.6,0.0,154.0289921760559
16,0.0825760009204585,11.146454000896185,9.861527095337252,0.153698648682887,5.0,-4.0,-1.44,0.0,200.82827043533325
17,0.0835301956649512,11.146454001205331,9.693509733618122,0.1542647562079304,5.0,-4.0,-1.2799999999999998,0.0,205.73466062545776
18,0.0844583508013811,11.144862983058148,9.50478031422094,0.1531611186129634,5.0,-4.0,-1.12,0.0,151.99574184417725
19,0.0853669237407304,11.146453967661,9.377220713054172,0.1553837504199638,5.0,-4.0,-0.96,0.0,242.0977149009705
