P_max,Omega_1,Omega_2,Gamma_e,number_of_fails,ComputTime
1,0.1601428334275354,0.0023518856861386,2.420955965304545,0.0017782794100389,0.0,221.4126071929932
2,0.1602053315789217,0.0041825130404778,2.408131822340173,0.0031622776601683,0.0,208.0366728305817
3,0.1602723301558446,0.0074384804699186,2.338802954493428,0.0056234132519034,0.0,208.307772397995
4,0.1603309071386506,0.0132271430020558,2.390606513562465,0.01,0.0,300.81746912002563
5,0.1604467495166728,0.023523784868355,2.362603675410581,0.0177827941003892,0.0,326.54209089279175
6,0.1606015497042909,0.0418191924482138,2.3867088777030787,0.0316227766016837,0.0,44.32701015472412
7,0.1609125722046159,0.0744370410142865,2.373706668044048,0.0562341325190349,0.0,269.5343816280365
8,0.1614441631026724,0.1325605776636094,2.360744553339228,0.0999999999999999,0.0,62.779634952545166
9,0.1623631681127778,0.2363639414252463,2.33977777260191,0.1778279410038923,0.0,469.3412547111511
10,0.1638915257209908,0.4232050512661583,2.296139056475297,0.3162277660168379,0.0,80.89746856689453
11,0.1659303980819005,0.7629401531096986,2.1909072381299013,0.5623413251903491,0.0,495.8272318840027
12,0.16503622981997,1.3334763260903888,2.2125772856171304,1.0,0.0,72.15391182899475
13,0.1636619552068876,1.649857047362458,2.642702746905747,1.7782794100389228,0.0,534.675430059433
14,0.1435515904564588,2.264495178927316,3.3032041845163698,3.162277660168379,0.0,83.35932540893555
15,0.1150275285302568,3.159083629244115,4.331106855540181,5.62341325190349,0.0,79.12541580200195
16,0.0854348735183953,4.333458980984104,5.76351592524418,10.0,0.0,80.29556035995483
17,0.0596084295909505,5.8373941096725765,7.66284288113912,17.78279410038923,0.0,69.94507193565369
18,0.0396030480209574,7.707598328937127,10.056098562753462,31.6227766016838,0.0,90.3977255821228
19,0.0253587578234869,10.035283556701014,12.989032587564,56.23413251903491,0.0,102.23740315437315
20,0.0157978733618563,12.99977114807538,16.642534399835213,100.0,0.0,134.03505325317383
21,0.0096100562978111,13.96728297601355,18.000113742510955,177.82794100389228,0.0,201.2554302215576
22,0.0057022255209356,14.153692823973335,18.326172371594787,316.2277660168379,0.0,209.9602165222168
23,0.0033198816308593,14.33812479800015,18.673513255947206,562.341325190349,0.0,300.3387928009033
24,0.0019079765927197,14.520166807732338,18.898339767192248,1000.0,0.0,377.50712752342224
25,0.0010874970654029,14.700270197193705,19.19673439094501,1778.2794100389226,0.0,627.6356520652771
26,0.000616730532908,14.877876162101964,19.39733231888993,3162.277660168379,0.0,992.358064174652
27,0.000348715285347,15.05340830646414,19.630037315913118,5623.41325190349,0.0,1910.9206609725952
